dataset,mean_ibs_cox,sd_ibs_cox,mean_ibs_rsf,sd_ibs_rsf,missingness_lvl,mechanism,pipeline,model,pipeline_id
rotterdam_missing_50_MAR.csv_pipeline_4_8_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1823493079994545,0.026658831086028,50,MAR,R,COX,10
rotterdam_missing_40_MAR.csv_pipeline_0_6_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.236025970657093,0.0341989817060404,40,MAR,R,COX,1
rotterdam_missing_40_MAR.csv_pipeline_0_9_12_16_COX_cleaned,0.5777196457396772,0.1064635261624206,0.1726602581071671,0.0180025437075521,40,MAR,R,COX,2
rotterdam_missing_40_MAR.csv_pipeline_1_6_10_14_16_COX_cleaned,0.6521826117481928,0.0632101806059288,0.2168047789558595,0.0162704516950928,40,MAR,R,COX,3
rotterdam_missing_40_MAR.csv_pipeline_1_7_10_12_16_COX_cleaned,0.5888703799622069,0.0429247185294736,0.2207542173365147,0.0270705155158536,40,MAR,R,COX,4
rotterdam_missing_40_MAR.csv_pipeline_2_6_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2429379706701949,0.0325384508988087,40,MAR,R,COX,5
rotterdam_missing_40_MAR.csv_pipeline_3_6_11_14_16_COX_cleaned,0.6909322410876562,0.0381524270080325,0.2051070141566671,0.0109545821151411,40,MAR,R,COX,6
rotterdam_missing_40_MAR.csv_pipeline_4_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1880562316875222,0.0215914750860794,40,MAR,R,COX,7
rotterdam_missing_40_MAR.csv_pipeline_4_5_10_12_16_COX_cleaned,0.2019758590365667,0.0250144404230914,0.1946195439860432,0.0201993058042572,40,MAR,R,COX,8
rotterdam_missing_40_MAR.csv_pipeline_4_7_9_14_16_COX_cleaned,0.6772822576863258,0.0452864538920932,0.2175384626428772,0.0163645605047976,40,MAR,R,COX,9
rotterdam_missing_30_MAR.csv_pipeline_0_5_11_16_COX_cleaned,0.2054500345677445,0.0339152715327409,0.1942712751288917,0.0272682487431763,30,MAR,R,COX,1
rotterdam_missing_30_MAR.csv_pipeline_1_5_10_16_COX_cleaned,0.2291575305284309,0.0390050166589543,0.1929942338266949,0.0277573768662761,30,MAR,R,COX,2
rotterdam_missing_30_MAR.csv_pipeline_1_5_9_14_16_COX_cleaned,0.2131645999074061,0.0191428582775998,0.1846442986508729,0.0186810623022908,30,MAR,R,COX,3
rotterdam_missing_30_MAR.csv_pipeline_1_6_10_12_16_COX_cleaned,0.6832796659100386,0.0674195728883768,0.2316021608577568,0.0367580768557168,30,MAR,R,COX,4
rotterdam_missing_30_MAR.csv_pipeline_1_9_16_COX_cleaned,0.6772238811229849,0.0627000484057313,0.1758955144071653,0.0235564631324731,30,MAR,R,COX,5
rotterdam_missing_30_MAR.csv_pipeline_2_6_9_16_COX_cleaned,0.5988803608807645,0.0411716248739772,0.193317426375181,0.0210493011429839,30,MAR,R,COX,6
rotterdam_missing_30_MAR.csv_pipeline_2_8_9_16_COX_cleaned,0.5485664038138792,0.140127603184,0.1335896640872202,0.0109395534452493,30,MAR,R,COX,7
rotterdam_missing_30_MAR.csv_pipeline_4_5_12_16_COX_cleaned,0.2099134310925836,0.0344899272370689,0.1949521665202061,0.0266123462724657,30,MAR,R,COX,8
rotterdam_missing_30_MAR.csv_pipeline_4_8_10_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1849989696380999,0.019865029535368,30,MAR,R,COX,9
rotterdam_missing_50_MCAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1944213272758296,0.0192117147083625,50,MCAR,L,COX,1
rotterdam_missing_50_MCAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1944213272758296,0.0192117147083625,50,MCAR,L,COX,2
